"year","make","model","mileage","normalized_color","transmission","sold_price","bid_amount","end_date","bidders","watchers","comments","status"
"2011","Porsche","Boxster","64000","Brown","automatic","25500","25500","2024-12-26 05:00:00","19","577","18","sold"
"2019","Porsche","718 Boxster","22000","Silver","automatic","46750","46750","2024-12-26 05:00:00","29","618","31","sold"
"2011","Porsche","911 Carrera S Coupe","8000","White","automatic","71500","71500","2024-12-26 05:00:00","44","1436","41","sold"
"1997","Porsche","911 Carrera Coupe 6-Speed","57000","Blue","manual","null","90000","2024-12-26 05:00:00","17","1805","69","unsold"
"2009","Porsche","911 Carrera 4S Coupe","15000","Gray","automatic","69000","69000","2024-12-26 05:00:00","40","1594","36","sold"
"2016","Porsche","Cayenne","81000","Gray","automatic","16500","16500","2024-12-26 05:00:00","24","528","15","sold"
"2024","Porsche","Macan Turbo Electric","86","Gray","automatic","null","88500","2024-12-26 05:00:00","41","1180","141","unsold"
"2007","Porsche","911 GT3","37000","Black","manual","161000","161000","2024-12-16 05:00:00","24","1273","84","sold"
"1977","Porsche","911S Coupe 5-Speed","73000","Blue","manual","128911","128911","2024-12-24 05:00:00","41","2179","129","sold"
"2009","Porsche","911 Turbo Coupe 6-Speed","45000","Yellow","manual","139000","139000","2024-12-23 05:00:00","24","1524","71","sold"
"1988","Porsche","Calendar Art by Walter Gotschke","null","Black","null","2775","2775","2024-12-23 05:00:00","17","175","14","sold"
"1999","Porsche","911 Carrera Coupe","29000","Silver","automatic","null","16250","2024-12-23 05:00:00","10","458","39","unsold"
"2012","Porsche","911 Carrera S Coupe","47000","Black","automatic","51000","51000","2024-12-23 05:00:00","28","1073","47","sold"
"2022","Porsche","Cayenne Turbo S E-Hybrid","43000","Black","automatic","97799","97799","2024-12-23 05:00:00","21","715","28","sold"
"1996","Porsche","911 Carrera Cabriolet 6-Speed","83000","Black","manual","56000","56000","2024-12-23 05:00:00","25","908","34","sold"
"1993","Porsche","911 RS America","72000","Red","manual","124000","124000","2024-12-23 05:00:00","19","1791","58","sold"
"2000","Porsche","911 Carrera Coupe 6-Speed","61000","Black","manual","25000","25000","2024-12-23 05:00:00","13","627","13","sold"
"2009","Porsche","911 Carrera S Cabriolet","60000","Silver","automatic","36800","36800","2024-12-23 05:00:00","24","783","22","sold"
"1964","Porsche","356C Coupe","282","Silver","manual","102500","102500","2024-12-23 05:00:00","37","1735","54","sold"
"2018","Porsche","911 Carrera T","16000","Silver","automatic","82500","82500","2024-12-23 05:00:00","24","1138","36","sold"
"2015","Porsche","911 Carrera S Cabriolet","30000","Black","automatic","73500","73500","2024-12-23 05:00:00","42","888","24","sold"
"2021","Porsche","911 Turbo S Cabriolet","4400","Yellow","automatic","206000","206000","2024-12-23 05:00:00","42","870","42","sold"
"2017","Porsche","Cayenne GTS","70000","Black","automatic","45250","45250","2024-12-23 05:00:00","28","614","27","sold"
"1966","Porsche","912 Coupe 5-Speed","16000","Red","manual","28250","28250","2024-12-23 05:00:00","22","1213","54","sold"
"1977","Porsche","911 Targa 5-Speed","78000","White","manual","45000","45000","2024-12-22 05:00:00","7","732","61","sold"
"2013","Porsche","911 Turbo S Coupe","23000","Silver","automatic","130000","130000","2024-12-22 05:00:00","34","1025","79","sold"
"1983","Porsche","944 5-Speed","77000","Red","manual","15944","15944","2024-12-22 05:00:00","28","870","59","sold"
"2013","Porsche","Cayenne GTS","67000","Blue","automatic","28118","28118","2024-12-22 05:00:00","21","745","58","sold"
"1972","Porsche","911T Coupe 5-Speed","70000","Brown","manual","81000","81000","2024-12-22 05:00:00","38","1645","141","sold"
"1979","Porsche","930 Turbo","44000","Red","manual","null","90000","null","0","2035","46","unsold"
"2007","Porsche","Cayman S 6-Speed Track Car","9000","Gray","manual","null","47000","2024-12-22 05:00:00","17","713","61","unsold"
